Id,Label,io,iob,year,field,field2,type,polygon_field,color_field,polygon_io,color_io,color_io2,polygon
1,AAICJ1985SiracusaPrincICCPR,AAICJ,,1985,Political,Civil,Princ,3,#e377c2,,,,0
2,AALCO1966PrincRefugees,AALCO,,1966,Discrimination,Refugee,Princ,6,#d62728,,,,0
3,ASEAN2012HRDecl,ASEAN,COP,2012,General,,Decl,,#2ca02c,3,#00bffe,,0
4,ASEAN2013DeclElimVioWoCh,ASEAN,COP,2013,Discrimination,Women,Decl,6,#d62728,3,#00bffe,,0
5,AU1963Charter,AU,AUA,1963,NonHR,NonHR-Institutions,Charter,,#c7c7c7,3,#e377c2,,0
6,AU1969Refugee,AU,AUA,1969,Political,Refugee,Conv,3,#e377c2,3,#e377c2,,0
7,AU1976Cult,AU,AUA,1976,Community,Culture,Conv,7,#8c564b,3,#e377c2,,0
8,AU1979DecChild,AU,AUA,1979,Discrimination,Children,Dec,6,#d62728,3,#e377c2,,0
9,AU1981CharterHR,AU,AUA,1981,General,,Charter,,#2ca02c,3,#e377c2,,0
10,AU1990Child,AU,AUA,1990,Discrimination,Children,Conv,6,#d62728,3,#e377c2,,0
11,AU1994DocRef,AU,AUA,1994,Political,Refugee,Decl,3,#e377c2,3,#e377c2,,0
12,AU1995ResAHGRes240XXXI,AU,AUA,1995,Institution,,Res,,#c7c7c7,3,#e377c2,,0
13,AU1998ProtEstCourt,AU,AUA,1998,Institution,,Prot,,#9467bd,3,#e377c2,,0
14,AU2000ConstAct,AU,AUA,2000,NonHR,NonHR-Institutions,Conv,,#c7c7c7,3,#e377c2,,0
15,AU2003AssemblyAUDecl12III,AU,AUA,2003,Discrimination,Women,Decl,6,#d62728,3,#e377c2,,0
16,AU2003KigaliDec,AU,ACHPR,2003,General,,Decl,,#2ca02c,3,#e377c2,,0
17,AU2003Women,AU,AUA,2003,Discrimination,Women,Prot,6,#d62728,3,#e377c2,,0
18,AU2006Youth,AU,AUA,2006,Discrimination,Children,Charter,6,#d62728,3,#e377c2,,0
19,AU2007Dem,AU,AUA,2007,Political,,Charter,3,#e377c2,3,#e377c2,,0
20,AU2008ProtocCourt,AU,AUA,2008,Institution,,Prot,,#9467bd,3,#e377c2,,0
21,AU2009IntDispl,AU,AUA,2009,Political,Refugee,Conv,3,#e377c2,3,#e377c2,,0
22,AU2011PrincGuidImplESCR,AU,ACHPR,2011,EcoSoc,,Princ,5,#ff7f0e,3,#e377c2,,0
23,AU2014ProtChourtHR,AU,AUA,2014,Institution,,Prot,,#9467bd,3,#e377c2,,0
24,AU2015ACHPRGenCom3,AU,ACHPR,2015,Civil,PhysInt,GenCom,4,#1f77b4,3,#e377c2,,3
25,AU2016LegAidFund,AU,AUA,2016,Institution,,Conv,,#9467bd,3,#e377c2,,0
26,AU2016Older,AU,AUA,2016,Discrimination,Elderly,Prot,6,#d62728,3,#e377c2,,0
27,AU2017ACHPRAssociaAssembl,AU,ACHPR,2017,Political,Assembly,Guide,3,#e377c2,3,#e377c2,,0
28,AU2017ACHPRGuidePolicAssembl,AU,ACHPR,2017,Political,Assembly,Guide,3,#e377c2,3,#e377c2,,0
29,AU2018Disab,AU,AUA,2018,Discrimination,Disab,Prot,6,#d62728,3,#e377c2,,0
30,AU2022ACHPRGuideProtEnfDis,AU,ACHPR,2022,Civil,ForceDis,Guide,4,#1f77b4,3,#e377c2,,0
31,CCPCJ2008172,UN,CCPCJ,2008,NonHR,,Res,,#c7c7c7,,#1f77b4,#f29385,0
32,COP1978Racism,WC,,1978,Discrimination,Race,Decl,6,#d62728,7,#8c564b,,0
33,CP1886BernConvArt,CP,,1886,NonHR,,Conv,,#c7c7c7,7,#8c564b,,0
34,CP1904WhiteSTraffic,CP,,1904,Civil,Traffick,Agre,4,#1f77b4,7,#8c564b,,0
35,CP1910ConvWhiteSTraffic,CP,,1910,Civil,Traffick,Conv,4,#1f77b4,7,#8c564b,,0
36,CP1921ConvSuppTraff,CP,,1921,Civil,Traffick,Conv,4,#1f77b4,7,#8c564b,,0
37,CP1926Slavery,CP,,1926,Civil,PhysInt,Conv,4,#1f77b4,7,#8c564b,,0
38,CP1941AtlanticCharter,CP,,1941,General,,Charter,,#2ca02c,7,#8c564b,,0
39,CP1942InterAmSocialCode,CP,,1942,EcoSoc,,Conv,5,#ff7f0e,7,#8c564b,,0
40,CP1945CharterNurmTrib,CP,,1945,IHL,WarCrimes,Charter,8,#7f7f7f,7,#8c564b,,0
41,CP1951Refugees,CP,,1951,Political,Refugee,Conv,3,#e377c2,7,#8c564b,,0
42,CP1954Stateless,CP,,1954,Political,Refugee,Conv,3,#e377c2,7,#8c564b,,0
43,CP1961RedStateless,CP,,1961,Political,Refugee,Conv,3,#e377c2,7,#8c564b,,0
44,CP1966ProtRefugee,CP,,1966,Political,Refugee,Prot,3,#e377c2,7,#8c564b,,0
45,CP1967ParisConvIndProp,CP,,1976,NonHR,,Conv,,#c7c7c7,7,#8c564b,,0
46,CP1989BaselConv,CP,,1989,NonHR,,Conv,,#c7c7c7,7,#8c564b,,0
47,CP1989ParisDeclWomChildAIDS,CP,,1989,EcoSoc,Living,Decl,5,#ff7f0e,7,#8c564b,,0
48,CP1990APSurvProtChild,WC,,1990,Discrimination,Children,Prot,6,#d62728,7,#8c564b,,0
49,CP1990DecSurvProtChild,WC,,1990,Discrimination,Children,Decl,6,#d62728,7,#8c564b,,0
50,CP1991BaselConvII12,CP,,1991,NonHR,NonHR-Environment,Conv,,#c7c7c7,7,#8c564b,,0
51,CP1992ConvProtChildAdopt,CP,,1993,Discrimination,Children,Conv,6,#d62728,7,#8c564b,,0
52,CP1996StockDecAgendActChild,WC,,1996,Discrimination,Children,Decl,6,#d62728,7,#8c564b,,0
53,CP1997AntiPMines,CP,,1997,NonHR,,Conv,,#c7c7c7,7,#8c564b,,0
54,CP1998ConvPIC,CP,,1998,NonHR,NonHR-Environment,Conv,,#c7c7c7,7,#8c564b,,0
55,CP2000WarAffChild,CP,,2000,Discrimination,Children,Decl,6,#d62728,7,#8c564b,,0
56,CP2001ConvPOP,CP,,2001,NonHR,,Conv,,#c7c7c7,7,#8c564b,,0
57,CP2001Yokohama,CP,,2001,Discrimination,Children,Decl,6,#d62728,7,#8c564b,,0
58,CP2006AbujaDec,CP,,2006,NonHR,,Decl,,#c7c7c7,7,#8c564b,,0
59,CP2007MessageBeppu,CP,,2007,EcoSoc,Living,Guide,5,#ff7f0e,7,#8c564b,,0
60,CP2008DelhiDecl,CP,,2008,NonHR,NonHR-Health,Decl,,#c7c7c7,7,#8c564b,,0
